"","ID","Cluster","Abstract","Title","Downloads","Publication Year","ClusterTheme"
"1",1,"7","In today’s marketplace, developing new user experiences significantly influences success. Like never before, it has become vital to connect with consumers in experiential ways. “Recognizing experiences as a distinct economic offering,” note Joseph Pine and James Gilmore (1999), authors of The Experience Economy, “provides the key to future economic growth.” This paper describes a (x 4), a new method for designing user experiences. Drawing from elements found in market research, ethnography and design, a (x 4) is an effective tool that features a unique emphasis on visual and narrative communication. The paper includes: • background information about the emergence of user experience as a critical design challenge. • a full description of a (x 4), including theory and the application process. • results from a research project conducted to explore and evaluate the effectiveness of a (x 4).","a (x 4): Combining ethnography, scenario-building, and design to explore user experience",288,2002,"communication/physical"
"2",2,"1","As ‘designing’ is a diverse phenomenon, but design processes have many important features in common with some other design processes, we can gain insights into how and why designers do what they do by making cross-domain comparisons. In this paper we propose a research programme for design studies: systematising these insights by using comparisons between design processes to compile a catalogue of patterns of designing – sets of features of design processes linked by causal mechanisms, that in combination with each other give a wide range of design processes their distinctive forms. The catalogue of patterns should include patterns describing features at different levels, linked by different sorts of causal mechanisms, so that different theoretical views and scales of description should be integrated in a richer unified understanding of designing.","A comparative programme for design research",102,2002,"design/process"
"3",3,"2","Design students encounter a wide variety of influences and inspiration during their education. Moreover, the knowledge and skills required and utilised whilst studying design encompasses both explicit and implicit knowledge, and iconic and canonic knowledge types. This paper explores, comparatively, the iconic influences amongst sets of British and Canadian undergraduate design students. Using naturalistic experimentation techniques, the study’s main objective is to investigate whether a student’s design influences, and subsequent artifact creation activities, are affected by their educational context, their economic situation, their gender or age, and their geographical conditions amongst others. With this in mind the study will seek to explore the ramifications of this comparative study in terms of undergraduate design curriculum development and the culture and sociology of designers and design practice, in general, in the future.","A comparative study of iconic influences amongst British and Canadian design students",105,2002,"students/learning"
"4",4,"1","In this paper we discuss artificial plan designing as a research field that deals with the development and use of computational models to support the generation of design descriptions in architecture and urban planning. We discuss some crucial methodological issues and we present a model for artificial design generation based on learning control methodologies. The design problem is defined as a search for ""coordinated"" solutions (changes) that satisfy distributed domain requirements and views expressed by human or artificial agents. The model is simulated for a land use and layout plan design problem seen within the context of a hypothetical urban development assignment.","A control based approach to artificial design and plan generation",130,2002,"design/process"
"5",5,"1","According to John Gero’s (1990) function-behaviour-structure model of designing, designers transform in three steps desired functions into a design description of an artefact that can perform these functions. Firstly, designers transform the functions into required behaviours of the artefact. Secondly, these required behaviours are transformed into a description of the structure of the artefact. And thirdly, designers transform this description of the structure into the design description that tells how the artefact can be manufactured. In this paper I present and review Gero’s model of designing and show that a precise understanding of this model depends on the precise meanings of the notions function, behaviour and structure. I consider three attempts to characterise functions, behaviours and structure of artefacts and assess how these characterisations affect the model. Also I consider an elaboration of the model by Rosenman and Gero (1998).","A critical analysis of John Gero’s function-behaviourstructure model of designing",97,2002,"design/process"
"6",6,"7","The design of a new tool or technology for a workplace should take into account the broad range of activities that go on in a given work environment. This paper describes an observation methodology in which the users -those who actually work in a given environment - photograph their own activities, acting as their own investigators. In this methodology, some visual tools are used to enhance communication in the design process. During follow-up interviews of the workplace activities between designers and workplace users, the self-photographs serve an important role as a medium to help designers understand how users function in the workplace. An interaction map, which visualizes the structure of the work practice, promotes and mediates interaction between the user community and the design team. In addition, the self-photography helps to give users a sense of participation in the investigation process. This helps users become involved in the design process thoroughly and smoothly. By applying this observation technique to three design projects, it is confirmed that the self-photo methodology is effective not only as an observation tool but also as a mediating tool among the various communities across the entire design process.","A field study methodology using self-photography of workplace activities",214,2002,"communication/physical"
"7",7,"6","The technological advances carried out these last years in the field of products development led the researchers to elaborate the approaches that reduce the cost and time of product development, enhance the quality of product and help the designers to be more creative. These objectives are difficult to obtain due to a large number of phases, which should be carried out during the product development and the large number of experts of different disciplines that are involved. Currently, computer aided systems and software have concentrated on the capture and representation of geometrical shape and technical information as opposed to providing supports for product design in the earlier stages of design process. In a non–routine design, it is delicate and extremely complex to obtain the best products answering customer’s specifications. The aim of this paper is to present a methodology to assist designers during the first stages of design. The objective is not to construct automatically the shape but both to automate a certain number of heavy and tiresome tasks, and assist designers during collaborative design. In the best case, this assistance makes the designers’ stimulation possible by presenting them the solutions that they had not thought of before.","A geometric aid during the first stages of product collaborative design",59,2002,"product/products"
"8",8,"7","In this study, we explored a set of methodologies that can be used at earlier phases of the design process, for designing and analyzing interaction design. Our methodology features a prototyping method that adopts performance technique, an observation method using video from the view of a user and a view that includes the system as a whole, and a method for describing interaction scenarios. Our method aimed to use the scenario and performance as techniques for communicating new design concepts and sharing experiences between designers and users, and to promote interaction between the user community and the design team. We enacted two case studies regarding the adaptation of the methodology. In one case a designer role-played a user, and in another case real users enacted the performances. We evaluated and confirmed the effectiveness of the methodology through these practices.","A method for designing and analyzing interaction design at earlier phases of the design process - use of the scenario, performance, and description format",128,2002,"communication/physical"
"9",9,"6","Manzini pointed out that “traditionally, ideas follow organizations; in the future, organizations follow ideas.” In a highly competing business environment, a company’s innovation capability defines its sustainability and good new product ideas are a key ingredient to company success. Industrial design deals mainly with new product development, in which innovation ideas are central. Designers view themselves as idea creators. But, why should future organizations follow the ideas proposed by designers? If designers’ ideas are to be followed by organizations, then a different design process thinking that can redefine company goals or suggest different business strategies is necessary. As a response, a business centered design process model is proposed, which consists of five steps: (1) Identifying new product ideas with attractive design potential from a user’s viewpoint, (2) Selecting appropriate company goals as design goals from a business perspective, (3) Defining new product concepts to reach the desired goals from a customer’s standpoint, (4) Specifying key design elements for less development efforts from a producer’s prospect, and (5) Translating design elements into physical entities or products. For verification, a product design workshop class taught by the author was employed. From students’ works, it can be asserted that the new procedure can be feasible and effective in developing new products that can meet market satisfaction and redefine business approaches. For illustration, a redesign work done by a student is demonstrated as an example. For further verification, theoretical analyses are conducted, resulting in supportive conclusions.","A product design process model that can redefine business strategies",82,2002,"product/products"
"10",10,"4","The authors made four design experiments to know how student designers create design solutions in translating goal description to its visual form. Firstly, in experiment 1 and 2, several thinking types were found in the sketches of the subjects, and then confirmed that they could sum up to two thinking modes (Metaphor mode and Form-making mode) depending on the difficulty in translating the goal description to its visual form. In experiment 3, it was found that the subjects took varied ways with changing thinking modes to reach final sketches depending on the difficulties of goal descriptions. Lastly, in experiment 4, the subjects were given a very difficult goal description, and the experimenters analyzed the sketches and words written in the sketches. As the result, some hierarchies of meanings of goal description were found in the subjects’ thinking processes. The subjects seemed to search clues of translating word to form through low-leveled words. Consequently, the author asserted that to make creative design, designers need to go along a thinking path with repeated changes of the thinking modes.","A research into the thinking modes in creative design process",119,2002,"factors/results"
