Number,Reference,Name,Text Content,Document,Codes,Number of Codes,Comment,Start position,End position,Extent,Creator,Creation Date,Modifier,Modification Date
1:1,p 2,,Designing Six Dimensions of Intercultural Teamwork: A next-gen challenge in co-creation processes,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Paper Reflection: Comment,1,"this paper talks about design process and improving collaboration - they define a ""framework""  - co-creation is a trending idea at DRS,",2,2,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:2,p 2,,"Six Dimensions of Intercultural Teamwork, a new framework to help teammates understand various differences such as how they build trust, exchange information, and cope with creative abrasion.",Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Contribution: Methodological: Societal,1,"they call a co-design method a ""framework""",2,2,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:3,p 3,,"The study responds to this challenge by proposing a framework to address common issues for all types of teams, regardless of the relative diversity of their membership. ",Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Contribution: Methodological: Societal,1,somehow suggests that a new framework for co-deisgn can address big problems l,3,3,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:4,p 4,,Six Dimensions of Intercultural Teamwork,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Transitions: Legitimize Design (Scientific),1,giving a process a name seems to package it for people outside design,4,4,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:5,p 5,,"Table 1 The Six Dimensions of Intercultural Teamwork, described in relationship to the design process and the revised Bloom’s Taxonomy of Educational Objectives.",Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Transitions: Academic Community,1,making a table makes the output easy to find and reuse by other researchers,5,5,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:6,p 10,,grounded theory analysis of observational and survey data.,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Research Method: Quantitative: Survey/Questionnaire,1,,10,10,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:7,p 11,,"grounded theory approach in order to understand the efficacy of visual thinking activities in the relationships, working processes, and outcomes of intercultural design collaborations in higher education.",Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Research Method: Qualitative: Content Analysis,1,"multi-media and mixed methods, over a long peroiod of time",11,11,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:8,p 11,,study began with interviews and survey data collected from a purposive sample of 20 communication design faculty and professionals,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Research Method: Quantitative: Survey/Questionnaire,1,,11,11,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:9,p 13,,Convergent frameworks: The Six Dimensions of Intercultural Teamwork combine ideas from learning theory with the design process to support teams of diverse collaborator,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Transitions: Legitimize Design (Scientific),1,by using a chart or diagram it looks more concrete,13,13,1,Angela Rout,10/16/25,Angela Rout,10/16/25
1:10,p 13,,Teamthink Constellation.,Designing Six Dimensions of Intercultural Teamwork_ A next-gen ch.pdf,Transitions: Legitimize Design (Scientific),1,catchy phrases,13,13,1,Angela Rout,10/16/25,Angela Rout,10/16/25
