Publication Year,Author,Title,Url,Abstract,Keywords,Downloads
2008,James Arnold,A Case Study of Applied Co-Design in 3D Virtual Space for Facilitating Bicycle Use on Light Rail Systems,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2142&context=drs-conference-papers,"Cycling is highly recommended by experts concerned with environmental and public health. Cycling does not produce CO2 emissions, can be economical, and can improve physical fitness. However, the barriers to cycling remain significant to many. Combined with a light rail system the bicycle offers a compelling alternative to automobiles; yet, bicycles are denied access on certain rail systems because they can take too much space away from pedestrians who share the light rail interior. To help solve this problem, Co-Design in 3D virtual space is proposed as an effective means of creating an innovative design solution. The digital questionnaires and virtual 3D modeling research/design method used in this study gives the participant the ability to offer insights and express ideas through digital means and in 3D virtual space. This method, Co-Design in Virtual Space (CoDeViS), was developed by the author. CoDeViS methods are an outgrowth of physical co-design methods such as 2D collages and 3D Velcro modeling, developed by those featured in The International Journal of CoCreation in Design and the Arts. Physical 3D methods have been widely accepted in the new product development industry as effective ways to involve people outside a design team in the research and design process. CoDeViS methods offer promise to those seeking to make the principles of co-design available to larger groups of people in discrete locations around the world at lower cost. Historical developments, current technology, and the abilities of everyday people make C",,88
2008,Asta Raami,A case study of intuition and design: Building a tool for parents of premature babies and the nursing staff who care for them,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2100&context=drs-conference-papers,"The paper presents a research-based study project conveyed by Media Lab Helsinki in 2007â€“2008. During the process, the design team constructed a unique audiovisual tool that provides emotional support in coping with the challenges of a premature birth. The purpose of the two-hour DVD, with its three separate parts, is to help family, intensive care staff, and other associated health care personnel to better connect with each other and the tiny babies. As the first audiovisual material, which aims to explain premature babies' communication and interaction, the end product has proven to be of significant value to Finnish neonatal care and other associated fields. The project was realized in cooperation with the Neonatal Intensive Care Unit in Children's Hospital, HUCH (Helsinki University Central Hospital), and the design team worked in a network of shared expertise. In the case study the authors used co-design and self-reflection methods to monitor graduate students working with a society-level challenge. The focus was upon the utilisation of intuition in innovations, problem solving, and project management. During the design process, the authors observed the working theory: intuition is the basis of successful decision-making, which leads to innovative solutions. Throughout the design process, the team collected systematically feedback, which was later utilised as a corner stone in the case study. The authors believe that relying on intuition, the design team ended up addressing many hidden issues of the clinic and parenthood of premature babies'. This paper tries to unfold the evolutionary working approach used during the design process, presents highlights of the case study research as well as illuminates the intuitive way of working from designers' point of view.",Design; Intuition; Case Study; Shared Expertise; Innovations; Digital Media; Evolutionary Process,103
2008,Li-Chen Ou; Ming Ronnier Luo; Guihua Cui,A Colour Design Tool Based on Empirical Studies,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2113&context=drs-conference-papers,"A colour design tool targeted at both unskilled consumers and professional designers is currently under development, on the basis of psychophysical studies into semantic associations of colour, the cultural influences and colour harmony. From experimental results for single-colour associations, 3 underlying factors were identified: 'warm-cool', 'heavy-light' and 'active-passive', which were found to agree well with those identified by earlier research. For colour-combination associations, an 'additive property' of colour association was discovered: the semantic score of a colour combination can be determined by averaging semantic scores of each constituent colour in that combination. According to the experimental results, there were 4 general patterns of colour harmony: similarity in hue and chroma, difference in lightness, high lightness and the hue effects. While the proposed colour design tool is still in its development stage and has a number of shortcomings, the system is believed to provide practical assistance and support not only for unskilled users but also for designers.",colour design; colour harmony; colour association; cross-cultural study; e-shopping; colour decision-making; design process; psychophysical method,198
2008,Gisele Raulik-Murphy; Gavin Cawood; Povl Larsen; Alan Lewis,A comparative analysis of strategies for design in Finland and Brazil,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2052&context=drs-conference-papers,"This paper reports on work in progress and initial findings of a research project that is comparing existing strategies for design (in promotion, support and policy fields) in four selected countries: Finland, South Korea, Brazil and India. For this specific paper, Finland and Brazil are the case studies compared. The paper explains the criteria for selection of these subjects, based on their stage of development and position on the Global Competitiveness Index (World Economic Forum). The objective of the research project is to investigate how countries with different national contexts adopt different strategies for design in coherence with their positions, weaknesses and strengths.","Design Policy, Design Strategy, Case Study/Ies, Brazil, Finland, Economic Development",176
2008,Lori Brunner,"A record of the design process A systematic investigation of the role, value, and effectiveness of the â€œprocess bookâ€ for interior design students",https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2069&context=drs-conference-papers,"The aim of this study is to analyze the structure, role, and effectiveness of a design student's """"process book"""" as a method of capturing and facilitating design thinking. The """"process book"""" includes all of the work completed during a design project such as written notes, drawings, and research. This study poses the following research questions: 1) What role and value does the process book have to design students and instructors? 2) How can the process book structure help to reduce a student's cognitive load, yet allow for the spontaneous actions involved in graphic thinking? This mixed-method research study includes an analysis and exploration of interior design student and instructor perspectives of the process book artifact and tool. The data collection and analysis involves two main components. The first includes an investigation of student and faculty perspectives of the structure, role, and effectivenss of the process book obtained from semi-structured interviews. The second part is an online student survey questionnaire of sophomore, junior, senior, and graduate student perspectives. One interior design program in a large Midwestern university was selected. All students within the undergraduate and graduate program were invited to participate in the survey questionnaire and all faculty were interviewed. Interviews were audio-taped and later transcribed for coding and interpretation. This study serves as a case study and pilot study to provide a foundation for a larger-scale future research initiative. Results from this study will inform two future initiatives: 1) design of a larger-scale research design involving a multi-university sampling frame, and 2) development of a 'digital process book' research study.","Design Process, Design Education, Drawing Research",69
2008,Ann Light; Lois Weaver; Pat Healey,Adventures in the Not Quite Yet: using performance techniques to raise design awareness about digital networks,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2081&context=drs-conference-papers,"Technologists promise a future in which pervasive, distributed networks enable radical change to social and political geographies. Design of these abstract, intangible futures is difficult and carries a special risk of excluding people who are not equipped to appreciate the ramifications of these technological changes. The Democratising Technology (DemTech) project has been exploring how techniques from performance and live art can be used to help people engage with the potential of ubiquitous digital networks; in particular, how these techniques can be used to enfranchise people with little technical knowledge, but who nonetheless will have to live with the design consequences of technical decisions. This paper describes the iterative development of a performance workshop for use by designers and community workers. These workshops employ a series of simple exercises to emulate possible processes of technological appropriation: turning abstract digital networks into imaginable, meaningful webs. They were specifically designed to target a technologically excluded group, older people, but can also be used with other groups. We describe the process of workshop development and discuss what succeeded with our test groups and what failed. In offering our recommendations for working in this space, we consider the methodological issues of collaborating across science/art/design borders and how this impacted on evaluation. And we describe the final result: a recipe for a performance workshop, also illustrated on a DVD and associated website, which can be used to explore the dynamics of technical and social change in the context of people's own lives and concerns.",Performance; Older People; Marginalisation; Person-Centred; Ubiquitous Digital Networks; Interdisciplinary; Technology; Future; Evaluation,69
2008,Kristina Borjesson,Affective Sustainability. Is this what timelessness really means?,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2102&context=drs-conference-papers,"Sustainability is always about regard to the environment: an intelligent use of resources and not returning to nature what it cannot degrade without long-term damage. Politics, business and thus research have been predominantly concerned with the direct impact on the environment of the diverse human activities in our society. There is of course awareness about all the indirect effects caused by these activities but as these effects are more complicated to identify and calculate, it could reasonably be suggested that these have not got the same attention and hence have not been thoroughly explored. Important resources are required for the production of objects, which subsequently turn out neither to meet humans' needs nor to fulfil their desires. This issue involves not just the misuse of resources but also the addition to waste problems. Needs and desires are not unrelated to material and function but reach mostly beyond the physicality of the object as argued by Krippendorf (2006), among others. Timelessness is unrelated to physicality and is most likely the ultimate example of sustaining. However, this phenomenon does not easily allow interpretation as it is basically philosophical, which also would complicate its transition into other domains. The deconstruction of timelessness in an earlier work (Borjesson, 2006) resulted in the phenomenon being conceptualised as affective sustainability. Four notions were identified as mainly informing timelessness: time, tradition, aesthetics and perception. When subsequently studied in several disciplines, these notions produced indicators on how to understand better what makes objects retain their significance in a changing human context. These indicators are not to be categorised as a set of tools or even less as a model to be applied in the design process: they are directional rather than normative. Moreover, they are best understood as support and inspiration to develop design thinking and have been the subject for further analysis as part of continued research. This has increased the clarity of the directions not only in relation to design thinking but also where to continue research.","Sustainability, Human ways of living, Human ways of being, Lived and Learned experience, Emotion, Affect, Feeling, Cognition",130
2008,Rhoda Trimingham,An Exploration of the Roles Values Play in Design Decision-Making,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2082&context=drs-conference-papers,"The paper presents the findings of a study into design decision-making and specifically the use of values during design decision-making. It briefly describes the development of a taxonomy of values used in design decision-making developed from a series of pilot interviews, protocol analysis and focus groups. This was necessary because although the values agenda is not new, previous studies were found to have gaps, or did not reflect the current state of play. From this more in-depth case studies were carried out to explore the influence of values in design decision-making. Eight designers were asked to design a lectern out of sustainable materials. They were given one day to complete the project. For one hour during the day they were asked to â€˜talk aloud' while being videoed, also known as concurrent verbalisation and protocol analysis. They also took part in a 40 minute retrospective interview about their design work, at the end of the day. One designer was asked to complete a ten day design project in order to verify the results against a longitudinal project. They also took part in a 40 minute retrospective interview at the end of the project. The paper presents some of the rich data collected during the study. And illustrates the ability to research the role of values in design decision-making. The data generated shows values driving many of the decisions designers make including the way in which they cognitively organise their design activity and through which they can reduce avenues of enquiry.","Design Decision-Making, Knowledge, Skills, Values, Empirical Evidence, Research Methods",105
2008,Udo Kannengiesser,An Ontological Basis for Design Methods,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2074&context=drs-conference-papers,"This paper presents a view of design methods as process artefacts that can be represented using the function-behaviour-structure (FBS) ontology. This view allows identifying five fundamental approaches to methods: black-box, procedural, artefact-centric, formal and managerial approaches. They all describe method structure but emphasise different aspects of it. Capturing these differences addresses common terminological confusions relating to methods. The paper provides an overview of the use of the fundamental method approaches for different purposes in designing. In addition, the FBS ontology is used for developing a notion of prescriptiveness of design methods as an aggregate construct defined along four dimensions: certainty, granularity, flexibility and authority. The work presented in this paper provides an ontological basis for describing, understanding and managing design methods throughout their life cycle.",Design Methods; Function-Behaviour-Structure (FBS) Ontology; Prescriptive Design Knowledge,179
2008,Alethea Blackler,Applications of high and low fidelity prototypes in researching intuitive interaction,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=2058&context=drs-conference-papers,"This paper addresses some of the issues involved in incorporating use of prototypes into a research program. Definitions, merits and uses of both low and high-fidelity prototypes are discussed and then the applications of prototypes in our research program into intuitive interaction are explored. It has previously been established that intuitive interaction is based on past experience, and can be encouraged by designing interfaces that contain familiar features (Blackler, 2006; Blackler, Popovic, & Mahar, 2007b). Two aspects of the research program which are relevant to prototyping are: researching the issues of how intuitive use happens and how it can be better facilitated; and developing ways to help designers include investigations about users and their existing knowledge into their design processes in order to make interfaces more intuitive. The current and future planned applications of high and low-fidelity prototypes in each of these areas are explored. Then experiences with using high-fidelity touchscreen prototypes for experimental research into intuitive interaction are discussed, including problems with the prototypes, how they were addressed and what we have learned from the process. Next the potential for low-fidelity prototypes to elicit users' tacit knowledge during the design process is explored. This has exciting possibilities due to the link between intuitive interaction and tacit knowledge. Finally, the challenges of developing prototype-based design tools for use by older people are discussed and future directions for using prototypes in our research program are considered.",Prototypes; intuitive interaction; experimental methodology; implicit or tacit knowledge,452
