Publication Year,Author,Title,Url,Abstract,Keywords
2018,Debbie-Ann Estwick,A Case for Caribbean Design Principles,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1555&context=drs-conference-papers,"This conceptual paper, under the topic track “Culturally-situated practice as design confidence”, seeks to propose principles for good Caribbean design and establish a case for design in local cultural policy in West Indian islands; showcasing how a healthy relationship between design and local culture can contribute to creative and culturally proud solutions that can potentially offer economic and social benefits. Five fundamental principles to guide good Caribbean design are proposed, inspired by Caribbean culture and society. This paper applies these principles to show how culturally-situated design and designers can contribute to environmental and economic improvements; cultural continuity - making/keeping cultural traditions relevant and accessible; and visual/language preservation - culturally situated design for identity and communication. This study draws on insight, case studies and research to present the potential value of establishing fundamental Caribbean principles of good design and integrating design and culture in order to reap social, cultural, economic and environmental benefits.",design; principles; culture; caribbean
2018,Kyulee Kim,A Case Study to Explore Applicability of Creating Shared Value (CSV) into Design Practice,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1653&context=drs\d-conference-papers,"This paper reports preliminary research prior to a larger investigation on roles of design to leverage creating shared values (CSV) as a new popular method for design innovation management. CSV is a nascent but widely accepted business concept that attempts to strategically align social goals and business goals together in one value for a company’s competitive and sustainable growth. However, this popular business theory has not been fully explored in design practice; therefore, a design project, which aspired to create shared value, was chosen for understanding and implementing the theory through the lens of design practice. This applied research aims to identify project goals to match theoretical goals of CSV and explore gaps between CSV as the business theory and a design practice to identify the gaps in future research. Two challenges of CSV’s applicability into design practice are recognised through case study. One challenge lies in the lack of explanation on non-economic and non-social design goals. Another lies in the undefined role of CSV in the realm of design.","creating shared value (CSV), new product development (NPD), and case study"
2018,Lulu Yin; Eujin Pei,A Co-Experience Toolkit: investigating the issues of the pavement environment and the relationship with elderly pedestrians,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1608&context=drs-conference-papers,"Pedestrian pavements play an important role in assisting or restricting the quality of walking. Poorly designed and maintained pavements may pose a challenge to the walking experience of older adults. This research aims to investigate pavement problems and their effects on elderly pedestrians. An empirical study was conducted in London with 41 older people aged over 60 who were fit to walk. In this study, we classified 16 influencing factors of the pavements and four adverse effects of them and identified 13 behaviours that elderly pedestrians displayed when they encountered the pavement factors. In addition, 17 recommendations were proposed in order to improve the pavement environment based on the requirement of the elderly pedestrians. Taking a step further, we developed a co-experience toolkit that could be used by researchers and professionals involved in the study of pavement design and urban planning to assess and improve the pavement environment with older adults. This toolkit is designed to encourage the users to understand the relationship between pavements and elderly pedestrians better.","pedestrian pavement, older people, behaviour change, built environment, design tool"
2018,Aine Petrulaityte; Fabrizio Ceschin; Eujin Pei; David Harrison,A Design Tool to Apply Distributed Manufacturing Principles to Sustainable Product-Service System Development,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1660&context=drs-conference-papers,"The Product-Service System (PSS) concept is considered a promising type of business models that has the potential to couple social, economic and environmental sustainability. However, there are a number of organisational, cultural and regulatory barriers that hinder a wide PSS implementation. The research hypothesis of this paper is that Distributed Manufacturing (DM), described as a network of localised and customer-oriented production units, can be applied to PSS to address some of the previously mentioned barriers. In order to understand to what extent DM can improve PSS implementation, existing PSS barriers were gathered and coupled with collected potential DM opportunities. Most promising pairings were described in a set of near- future scenarios which were later integrated into the first version of the PSS+DM design tool. The first testing of the tool was carried out with 45 design students and initial findings suggest that, with further improvements, the PSS+DM design tool has the potential to support PSS solutions development process.",sustainable product-service system; distributed manufacturing; future scenarios; design tool
2018,Kathryn Burns,A Framework to Maximise Design Knowledge Exchange,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1552&context=drs-conference-papers,"This paper explores the conference theme of design as a catalyst for change through a set of reflections regarding the experience of delivering several major design knowledge exchange projects. Based in a university context, the projects have worked with more than 500 companies over 15 years and total in excess of £6.5million in value. The paper outlines the experiences of developing and delivering the projects. It explores the efficacy of the various delivery vehicles in relation to developing design awareness, knowledge, use and strategic commercial exploitation. Finally, the analysis proposes a framework for optimising the exchange of design knowledge between universities and companies to maximise change through design and the consequent economic growth.",design knowledge; knowledge exchange; adding value through design
2018,Caroline Gagnon; Danielle Dagenais; Valérie Côté,"A Place to Be or, at Least, a Space to See: a qualitative inquiry on the experience and appreciation of extensive green roofs",https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1529&context=drs-conference-papers,"This study explored the experience of extensive green roofs [EGR] in order to understand more accurately the factors that contribute to their aesthetic experience. The research pursued a comprehensive approach to advise designers in the conception of EGRs and encourage their large-scale implementation to accelerate transition into a more sustainable and resilient way of living. The results of this study were provided by the combined analysis of an in-situ experience of 30 EGRs from Montreal and Quebec, as well as from 30 semi-structured interviews conducted with participants from Montreal (Canada). The study revealed a positive perception of EGRs and a greater appreciation than the one given to traditional roofs. Even if the environmental benefits of a green roof were recognized, participants found them useless when a physical or visual access to the roof was not granted. Thus, the paper proposes an intervention on roofs that could go beyond its strict greening. In fact, the design of EGRs should encourage human experience by physical presence when possible or at least draw attention to its observation.","sustainable futures, aesthetic experience, empathic design, extensive green roof [EGR]"
2018,Nilay Gulfer Kose; Abdusselam Selami Cifter,A Qualitative Study on Turkish Medical Device Manufacturers and the Attention They Place on Human-Centred Design,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1680&context=drs-conference-papers,"Turkey has a rapidly growing medical device industry, yet the domestic market is mainly dependent on import trade products. It is also claimed that there is a prejudice against ‘Made in Turkey’ branded medical devices both in the domestic and Global market. In this research, it was hypothesised that the problem could be caused by the limited attention paid on human-centred design among Turkish medical device manufacturers; because the importance of human-centred design is drawing more attention in Today's healthcare industry. For this purpose, semi-structured interviews were carried out with manufacturers in Expomed 2017 Medical Devices Fair. Due to the fact that human-centred design is an umbrella term covering several aspects of good design, six of its important topics related to medical device designs were examined: Medical Device Usability, Patient Safety, User Interface, Use Errors, User Experience, and Ergonomics and Human Factors. The results suggested that although the manufacturers had an overall understanding of human-centred design, they mainly take its important aspects into account as much as the regulations oblige.","medical device design, human-centred design, Turkish medical device market"
2018,Agnes Jihae Kim; Jeonghyun Kim; Daeun Hwang; Oseong Kweon,A Study of Roles and Collaboration in the Development of Assistive Devices for People with Disabilities by Clinical Experts and Design Experts,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1654&context=drs-conference-papers,"This study is part of a research program promoting the expertise of professional manpower in the Korean assistive device industry. Based on interviews with clinical and design experts, the authors discuss the advantages and difficulties of this collaboration, and suggest ways in which it might be improved. They discuss the roles of clinical and design experts, and consider the product components involved in the development of assistive devices. The roles of clinical experts and design experts have common elements in that both groups take a human-centered approach to product development. Design and clinical experts should collaborate further in the development of assistive devices, and this should lead to the shortening of product development time and to user needs being better met in new products. Research exploring guidelines for collaboration is needed in order to solve problems and difficulties arising from the convergence of these two areas of expertise.",roles of specialists; collaboration; assistive devices; human-centered design
2018,Jeong-Sub Lim; Eui-Chul Jung,A Study on the Roles of Designers Co-Evolving with Tools,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1593&context=drs-conference-papers,"Humans have always been making tools, creating artefacts with the tools and also using those artefacts as tools. The concept of tools is changing from the expansion of the human body to the expansion of human intelligence. The development of computer technology and the emergence of artificial intelligence raise serious questions about the faculties and roles of humans. The same is true for the faculties and roles of designers who use computers as their main tool in their work. In this paper, the inherent faculties of the human mind, revealed through the Kantian approach, are applied to designers. According to this, it is explained how designers use their own faculties in the world of human artefacts. The co-evolutionary relationship between computers, as evolving tools, and designers is analysed by establishing roles in mutual relations at each phase. The evolution of tools requires designers to take on new roles, which helps designers to better use their faculties.",tools of design; artificial intelligence; role of designer; generative design
2018,Anna Vlachaki; Abby M.J. Paterson; Samantha C. Porter; Richard J. Bibb,A Survey of Prosthetic Preferences in the UK and Greece,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1576&context=drs-conference-papers,"People with limb loss are considered as disabled and they are stigmatised. However, the use of prostheses that express their identity has potential to change society’s opinion and eliminate stigmatisation. Using an online questionnaire, the aim of the study was to understand users’ preferences towards prostheses and whether culture affects them with the aim of designing more suitable prostheses for them. In order to investigate people’s preferences, with respect to cultural diversity, the study was conducted in the UK and Greece. There were 136 valid answers. The sample methods of the research are non-probability. Through the demographic and disability related variables that were tested, age and cause of limb loss appear to be independent of culture. The results present similarities between the two countries regarding the hierarchy of the preferences. However, the reasons for participants’ preferences towards prosthetic limbs significantly differ; in the UK people are concerned about identity, whilst in Greece the concern is for social reasons. Functional concerns constitute the most important issues to both countries.",prostheses; preferences; culture; stigma
2018,Muhammad Tufail; Seonmi Lee; KwanMyung Kim,A Toolkit for Teaching the Design Process: A Case of Korean Elementary School Students,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1725&context=drs-conference-papers,"South Korean elementary schools mainly focus on increasing students’ proficiency in subjects related to science and engineering, while early education in design is ignored entirely. As a result, the concept of design and its value have become unpopular among the general public. Creative, young students are not exposed to environments that use design to develop problem solving approaches to improve integrated creativity. The present study demonstrates the design of a toolkit for teaching elementary school students the design process. The purpose of the proposed toolkit is to help students learn the concept of design with in-class problem-solving activities that can improve integrated creative thinking. We conducted a problem-solving activity with elementary school students based on the existing creative thinking models we incorporated in our proposed toolkit. Initially, we found that the proposed toolkit’s instructions were too complicated for the students to understand the context of the activity, and the entire process was observed as difficult. Based on our initial experiment, we revised the toolkit to minimize the difficulties students faced. We hope that the proposed toolkit will allow students to experience a problem-solving design process to enhance their integrated creative thinking.",toolkit; elementary school students; design process; integrated creativity
2018,Dan Lockton; Stuart Candy,A Vocabulary for Visions in Designing for Transitions,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1594&context=drs-conference-papers,"Visions of sustainable futures have been proposed as a key component of transition design, offering a way for today’s situations and design proposals to be compared and critiqued in the light of desired future states. Such ambitions are necessarily wide- ranging, and call for drawing together strands on design and speculation from diverse sources. Here we seek to add to the momentum by exploring a set of concepts relating particularly to this role of vision in designing for transitions. Building on perspectives and projects from other fields, we present elements of a visionary vocabulary, situating these terms in relation to challenges and opportunities for transition thinking and practice in design research.","futures, imaginaries, visioning, transition design"
2018,Jocelyn Bailey; Chad Story,Aestheticising Change: simulations of progress,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1521&context=drs-conference-papers,"If, following Rancière, politics revolves around who has power to articulate ‘the sensible’, then designers, as aesthetic practitioners, must be caught up in questions of politics. This is particularly so when design practice becomes part of the way public sector actors negotiate, envision and catalyse change in relation to public ‘problems’. However, this is also typically a form of design practice that eschews any talk of aesthetics — presenting as de-skilled, democratic and ‘de-aestheticised’, in a sense. By analysing and re-describing such design practice in aesthetic terms here — illustrated with an example from practice — we provide an alternative characterisation to the more instrumental account of design as a reliable route to innovation for public sector managers. This opens up a different perspective on what such practices function to achieve, and what is at stake: an effacing of the political nature of design decisions, and an obscuring of the real work of change by the seductive techniques of simulation.",design; public sector; aesthetics; politics
2018,Olga Elizarova; Paul Kahn,"Align and Combine, Customer Journey Mapping and COM-B Analysis to Aid Decision-Making During the Design Process",https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1647&context=drs-conference-papers,"This paper explores a new methodology for solving complex problems that focus on changing end-users’ behavior by combining customer journey mapping and COM-B analysis. This method visually representing gaps and opportunities in a sequential way aligned with barriers to behaviors, creating a unique tool that can be used by both service designers and behavioral scientists. Using such tools can help us gain a more thorough understanding of a problem space, leading to the design of efficient, cost- effective behavior change interventions, improvement in the target outcomes and the achievement of business goals. We illustrate this “align and combine” method by applying it to the case study of an insurance company that wants to address the high risk of dental complications among their diabetic membership cohort. We conclude that visually combining the service design and behavioral science approaches creates a symbiotic relationship, where doing one type of analysis complements the other, and vice versa.","design tools, design methods, behavior change, interdisciplinary"
2018,Tanveer Ahmed,“All about Love”: How would bell hooks teach fashion design?,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1550&context=drs-conference-papers,"This paper introduces a PhD project which draws on theories from Black and Women of Colour feminists to develop anti-racist fashion design pedagogies. These pedagogical experiments demonstrate the value of Black and Women of Colour feminist scholarship for fashion design education through its call for the decolonization of pedagogy. Feminist scholarship emphasises the role of everyday life and ordinary experiences which can have the potential to disrupt hegemonic thinking. Such experiences could help shape new fashion design pedagogies and culture. I will suggest how using bell hook’s conception of “love” could also be taken up by fashion design educators to encourage students to explore points of connection and disconnection between different cultures, histories and experiences. hook’s notion could, I will also suggest, foster students’ active awareness of how local and global cultures and histories might be more creatively interwoven to create a design process that resists stereotyping, appropriation and racist forms of representation.","feminism; fashion design; design pedagogy, decolonization"
2018,Boudewijn Boon; Marco C. Rozendaal; Pieter Jan Stappers,Ambiguity and Open-Endedness in Behavioural Design,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1644&context=drs-conference-papers,"Design is increasingly concerned with changing people’s behaviours. A common characteristic to behavioural design approaches is their directionality: products provide clarity about or guidance towards the designer’s intended behavioural outcome. In this paper we propose an alternative perspective that emphasizes ambiguity (i.e. affording multiple interpretations) and open-endedness (i.e. affording multiple courses of action). We build on two design cases in pediatric healthcare in which the aim was to stimulate young children’s physical activity during hospitalization. Instead of commonly used exercise-based approaches, our focus was on physical activity in the form of spontaneous and unstructured play. We describe how interactions with ambiguous and open-ended playthings gave rise to intended behavioural outcomes. The findings are explained by drawing on Activity Theory, suggesting products can direct and leave things open on different levels of interaction. With our contribution we open up a new design space for behavioural design that reconciles designer’s intentions with end user’s appropriation.",appropriation; design for behaviour change; openness; research through design
2018,Jordan Beck; Laureline Chiapello,An Examination of Scholarly Critique in DRS Publications and Its Role as Catalyst for Community Building,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1522&context=drs-conference-papers,"The design research community has been interested in its identity as an intellectual community for some time, and, as with design itself, critique is central to good scholarship. Building on recent citation analyses in the field, in this paper we examine two cases of critique in design research scholarship. We aim to contribute to the theory of scholarly critique by providing a richer picture of critical citations than has previously been available. In addition, we identify the need for a crucial methodological development in the field; namely, design researchers need a way to examine and assess critical citations from within. Analytical (citation) frameworks that have been imported from other fields are limited in what they can tell us about the nature and quality of critical citations in the design research community. We argue for the DRS community to examine and reflect on its use of scholarly critique.",scholarly critique; community building; critical citations; citation analysis
2018,Philippa Mothersill; V. Michael Bove,An Ontology of Computational Tools for Design Activities,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1598&context=drs-conference-papers,"While able to automatically generate and optimise designs for variables provided by a designer, today’s computational design tools do not specialise in the earlier, more tacit tasks such as gathering and sorting disparate information or generating hypotheses and identifying novel directions. This paper presents a review of computational technologies that could potentially play a role in these early stage design activities. Using a framework that deconstructs design activities into underlying tasks, an ontology that reviews the various computational tools that could be applied in these activities was created. Computational technologies such as neural networks and stochastic algorithms were found to provide features that could potentially allow for discovering and linking new information together in order to provoke the – often unexpected – inspiration that can guide designs in the latter phases of development.",computational design tools; creativity support; early design process
2018,Marita Sauerwein; Conny Bakker; Ruud Balkenende,Annotated Portfolios as a Method to Analyse Interviews,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1601&context=drs-conference-papers,"This paper explores the use of annotated portfolios as a method to support the qualitative analysis of interview data about design projects. Annotated portfolios have so far been used to support artefacts with text in order to discuss them in the context of ‘research through design’ In this paper, we interpret the five-step method of McCracken and relate it to annotated portfolios to analyse interviews. We use a case study on design projects related to 3D printing and sustainability to illustrate the process. Five designers were interviewed to obtain a deeper understanding of the role of Additive Manufacturing in practice. These interviews were analysed in a visual process with annotated portfolios. The use of annotated portfolios is considered a meaningful approach to analyse interviews, because it leads to a more transparent analysis process: The visuals are rich in information, bring clarity to the data for interpretation and pattern finding and make this stage insightful for discussion with peers.",annotated portfolios; visual analysis of interviews; research through design; circular economy
